"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "XML", "CSS", "HTML", "TypeScript JSX", "comment", "blank", "total"
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\FriendsChat\FriendsChat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 4, 44
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\LeftSideBar\Leftsidebar.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Login\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 11, 118
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Login\LoginLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 14
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Login\LoginSide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 129, 0, 7, 136
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Movie\Movie.css", "CSS", 0, 0, 0, 0, 0, 133, 0, 0, 0, 30, 163
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Movie\Movie.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 118, 0, 19, 137
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Movie\MoviePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 10, 64
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\Collection.css", "CSS", 0, 0, 0, 0, 0, 31, 0, 0, 0, 8, 39
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\Collection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 16, 98
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\CreatePost.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 118, 0, 10, 128
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\Movie.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 109, 0, 14, 123
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\SendToFriend.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 126, 0, 17, 143
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Mylist\ListMovie.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 5, 50
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Mylist\Mylist.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 5, 57
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\NavBar\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 184, 0, 27, 211
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\NotFound\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 5, 42
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Comment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 3, 56
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Post.css", "CSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Post.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 226, 1, 50, 277
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Posts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 1, 24, 132
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Profile\Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 153, 0, 23, 176
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\ProtectedRoute\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\ProtectedRoute\ProtectedWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\AddFriends.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 4, 44
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\Friend.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 118, 2, 14, 134
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\Recommendations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 14, 82
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Register\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 103, 0, 9, 112
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Register\RegisterSide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 133, 0, 10, 143
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\ResetPassword\ResetPassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 2, 9, 62
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\ResetPassword\ResetPasswordEmailSide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 0, 6, 93
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\ResetPassword\ResetPasswordNewCurrentPasswordSide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 121, 2, 10, 133
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\Movie.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightMovie.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 10, 50
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightSideBar.css", "CSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
