"filename", "language", "JSON with Comments", "TypeScript", "CSS", "XML", "TypeScript JSX", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Login\LoginSide.tsx", "TypeScript JSX", 0, 0, 0, 0, 129, 0, 0, 0, 0, 7, 136
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Movie\Movie.css", "CSS", 0, 0, 133, 0, 0, 0, 0, 0, 0, 30, 163
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Movie\Movie.tsx", "TypeScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 0, 19, 137
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Movie\MoviePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 10, 64
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\Collection.css", "CSS", 0, 0, 31, 0, 0, 0, 0, 0, 0, 8, 39
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\Collection.tsx", "TypeScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 0, 16, 98
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\CreatePost.tsx", "TypeScript JSX", 0, 0, 0, 0, 120, 0, 0, 0, 0, 12, 132
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\Movie.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 14, 123
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\SendToFriend.tsx", "TypeScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 2, 18, 141
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Mylist\ListMovie.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 5, 50
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Mylist\Mylist.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 5, 57
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\NavBar\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 184, 0, 0, 0, 0, 27, 211
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\NotFound\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 5, 42
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Comment.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\CreatePost.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Post.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Post.tsx", "TypeScript JSX", 0, 0, 0, 0, 211, 0, 0, 0, 2, 50, 263
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Posts.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 1, 24, 132
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Profile\Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 0, 22, 170
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\ProtectedRoute\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\ProtectedRoute\ProtectedWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\AddFriends.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 6, 45
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\Friend.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 2, 13, 113
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\Recommendations.tsx", "TypeScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 0, 14, 82
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Register\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 9, 112
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Register\RegisterSide.tsx", "TypeScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 0, 10, 142
