"filename", "language", "JSON with Comments", "TypeScript JSX", "XML", "CSS", "TypeScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\NavBar\NavBar.tsx", "TypeScript JSX", 0, 194, 0, 0, 0, 0, 0, 0, 0, 30, 224
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Comment.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Post.css", "CSS", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Post.tsx", "TypeScript JSX", 0, 192, 0, 0, 0, 0, 0, 0, 2, 46, 240
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Posts.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 0, 0, 0, 1, 22, 109
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Profile\Profile.tsx", "TypeScript JSX", 0, 140, 0, 0, 0, 0, 0, 0, 0, 28, 168
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\AddFriends.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\Friend.tsx", "TypeScript JSX", 0, 100, 0, 0, 0, 0, 0, 0, 3, 16, 119
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\Recommendations.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 12, 80
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Register\Register.tsx", "TypeScript JSX", 0, 103, 0, 0, 0, 0, 0, 0, 0, 9, 112
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\Movie.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightMovie.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 45
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightSideBar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightSideBar.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 0, 0, 0, 0, 10, 63
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\SearchBar\SearchBar.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 1, 9, 58
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\Loading.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\NavBarNotifications.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 0, 10, 51
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\NavBarRequests.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 9, 54
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\Tabs.tsx", "TypeScript JSX", 0, 118, 0, 0, 0, 0, 0, 0, 0, 28, 146
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\User.css", "CSS", 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 34
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\User.tsx", "TypeScript JSX", 0, 98, 0, 0, 0, 0, 0, 0, 4, 22, 124
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\UserSide.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\Users.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 0, 7, 45
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\img\logo.svg", "XML", 0, 0, 53, 0, 0, 0, 0, 0, 0, 1, 54
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\index.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\index.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 3, 9, 55
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\setupTests.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"e:\asdsadasd\FrontasBakio\bakiofrontas\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 3109, 54, 304, 14, 26, 12639, 20, 49, 651, 16892
